MW,Synthetic
42.97644468,2.122217012
44.59680679,2.443772578
54.15193181,2.230317351
50.99473141,1.582317171
39.00071084,2.970320705
26.3421682,5.917726813
14.68001561,2.075020143
11.94606807,7.455678974
5.266127728,6.566361705
0.12970758,6.018532517
0,0.477814591
0.098001282,8.047470707
5.122008195,1.828869982
3.308984473,7.363395907
3.369514677,6.69723903
2.395266635,6.640998657
3.147570596,5.774801494
12.4000446,8.227461615
36.0940819,6.39851289
34.54053884,4.6661296
25.37368494,9.486884672
20.92471497,3.760330374
32.01811948,4.359337654
33.58836729,4.525557471
34.4236055,6.122605905
34.39019597,7.19705497
32.08493853,0.500537336
25.7570429,6.069653851
32.35221476,9.177878259
22.49850026,4.867802729
14.68001561,5.100378749
11.94606807,6.59010735
5.266127728,2.705221504
0.12970758,6.541469266
0,1.171468081
0,0.183819085
1.155838653,3.122497384
2.02343824,5.391928486
2.732506342,4.283233133
3.983463886,2.891354909
3.801873275,4.42677366
5.966548657,5.237273805
8.4828757,2.929858855
10.14025033,5.856221863
6.410436818,0.482467085
6.381612912,5.03600017
8.183107072,6.062112827
7.286683578,2.240231665
6.626616118,2.424859637
6.217316645,2.610302978
5.018242132,2.377205179
3.594341148,4.140476694
1.640080283,2.160154429
1.299958186,1.599407391
0,4.69201555
0,2.878409693
0,5.194475545
0,1.865481318
0,2.773272815
0,4.067236114
0,11.01785443
0,4.917186115
0,4.681484472
0,4.69264091
0,3.148953138
0.123942798,5.129314196
17.99908845,9.121624549
10.20078053,3.188936395
6.053020377,1.270889061
4.776121317,2.68457185
4.193878404,6.153742938
5.831076297,8.072901212
2.181969726,4.911675494
8.062046664,2.629221933
15.62832214,5.195606739
16.20335907,4.581707252
21.69143088,4.748512506
22.14540741,3.779398878
17.64599559,3.959250409
0,2.212893793
2.553798121,4.758913855
7.439450283,5.910517049
3.536693335,4.866326592
3.888344995,3.117456972
6.63526329,3.082469698
4.453293563,4.761895162
1.397959468,7.086131888
0,7.426731955
0,5.916951902
2.052262147,7.22119728
5.542837231,2.859922532
5.738839796,4.046368846
7.445215064,0.710155011
20.62206395,9.450983271
10.09989686,4.690414713
2.81321328,4.330311108
0,7.456428542
0,1.349693448
0,9.611937662
0.30553341,4.106851735
4.557059627,7.712676017
5.637956123,3.639215065
7.327037047,5.660647546
15.18443397,10.83052735
5.453483121,3.613544987
0,1.388978051
1.729434393,2.365525603
0,3.996660229
0,8.818919388
1.622785939,5.651626753
2.360677947,4.001741057
0,1.992437065
2.585504418,6.258466394
7.923691913,1.880185525
24.94997352,8.647411207
5.384305745,8.247188275
0,3.519503182
4.162172107,3.607419782
0.812834165,6.505001462
0,3.678797319
0,7.248240457
0,2.431522069
3.12162908,3.233253849
5.738839796,3.317027828
4.470587907,4.830988523
5.343952276,4.062525852
5.989607783,5.508431583
4.332233156,9.260108975
1.415253812,0.597934697
0,1.248316733
0,9.890094562
0,3.46235673
0,0.693300098
0,9.146501171
0,3.662928361
0,6.544323903
0,4.599200994
2.997686282,6.413782999
52.79884593,7.775864424
44.34623533,4.597254531
31.24970033,5.823764326
26.15048922,6.134388773
30.96571934,5.511566238
10.86661277,3.762091757
4.600295487,8.48807344
5.044183648,9.883055217
2.06379171,3.257623018
0,5.64272729
0.109530845,8.951908763
1.4498425,7.303392845
0,4.901368389
0,1.657216831
0,0.438917018
0,1.381045663
0,4.700542926
0,5.817931575
0,1.864235505
0,1.907262151
0,2.971640792
0,3.772233054
0,5.487409737
6.822618682,5.437511533
28.46000474,1.542320659
20.9146266,7.515165095
9.575301759,7.992526051
6.796677166,8.44448088
3.343573161,5.033217127
4.807827614,5.1015396
3.663518524,3.175445836
3.591458757,8.815457821
3.081275611,7.352741724
1.902377833,5.395195561
1.830318066,5.394057849
1.867789145,3.215561765
2.323206869,3.992346421
2.937156078,1.462618357
3.398338583,5.900396545
0,0.931211808
0,8.464806005
0,8.968109413
0,6.469877162
0,8.619851857
0,2.195713936
0.095118892,2.908426787
3.378161849,0.607761192
14.42780643,3.016587367
40.47073007,5.74345769
59.89837064,4.342328848
61.73589468,2.823189559
66.96448582,2.78094628
74.03214514,4.35454696
72.76595211,6.710838571
60.81713266,6.114229922
37.48057731,3.771081002
24.78855964,4.530720945
15.24496418,1.033460311
8.321461823,2.462012001
7.269389234,3.750569776
5.003830178,5.607788484
0.625478772,3.361160277
0,5.440803935
0,4.117341865
0,5.532953157
0,0.939162957
0,7.187331943
0,9.121849889
0,1.429042365
0.098001282,3.351787066
9.524859922,3.745380362
56.65764642,5.616124318
74.64362373,2.465614213
64.89309508,3.931984839
47.60366431,3.309314953
42.84280657,1.23996734
29.02796671,5.811425709
18.38244641,0.751222237
8.067811446,5.920135524
5.032654085,2.389791706
5.465012683,5.567322804
13.85276949,1.618123793
4.646413737,3.377381435
10.28148747,2.418111063
14.87169459,3.651462674
32.95358626,2.809354641
9.514771555,4.821973379
4.245761436,9.870654867
3.283042957,1.658962884
1.265369498,8.927952494
0,0.806474748
0,8.029607898
0,5.162666002
0,7.172184621
1.173132997,1.525157272
8.304167479,5.68550125
64.20819976,1.513842017
49.72516935,5.269048084
45.23158782,0.985673996
60.13223733,2.88684671
66.14595238,4.400336411
52.03042678,1.282267216
42.59223511,2.541633917
43.49429236,3.128576491
66.14595238,9.465371026
71.99388318,0.840171425
71.95064732,5.031221341
66.44663814,7.617557983
28.8943286,2.324609629
54.51943662,5.37557166
8.410815934,4.971168734
4.231349483,3.644213685
7.82280824,2.107291977
12.42022134,3.193654762
12.68251889,4.671752697
26.07987065,7.347699343
45.51556881,4.610913689
41.62335879,1.282950119
35.24213893,6.642337542
37.79796783,2.735960332
44.7304449,9.368250397
42.74257798,7.646872382
42.52541605,2.132689205
41.5732445,7.568108353
43.04326373,3.792871268
36.37806289,3.858739969
8.465581356,2.179153832
3.291690129,2.997349623
0,6.955380667
0,2.721646271
0,3.574044442
0,2.920389739
0,0.22972455
